total_timesteps,explained_variance,nupdates,policy_entropy,value_loss,fps,ep_len_mean,ep_reward_mean
56000,0.9941657944582403,2800,1.8907816410064697,0.0003009619249496609,1977,605.7888888888889,-4.811111111111111
58000,0.7805258929729462,2900,1.7425349950790405,0.0018187395762652159,1981,606.0425531914893,-4.819148936170213
60000,0.9913734281435609,3000,1.7332801818847656,0.0018396591767668724,1983,604.0918367346939,-4.816326530612245
62000,0.5062019526958466,3100,2.004030704498291,0.03627733513712883,1983,602.44,-4.82
64000,-0.1669381856918335,3200,2.0336811542510986,0.07221222668886185,1981,603.78,-4.82
66000,0.9683538898825645,3300,2.0246686935424805,0.0010530637810006738,1985,606.77,-4.82
68000,0.9867895748466253,3400,1.540803074836731,0.0009115952998399734,1988,607.9,-4.82
70000,0.8660295456647873,3500,1.8692505359649658,0.0008931442862376571,1991,609.87,-4.81
72000,0.9840619619935751,3600,1.9354875087738037,0.0010076345643028617,1994,613.66,-4.8
74000,0.9841738641262054,3700,1.9925645589828491,0.0010009156540036201,1997,614.11,-4.81
76000,0.9504979066550732,3800,1.7404353618621826,0.005186558701097965,1999,613.81,-4.81
78000,0.9935464588925242,3900,1.5710259675979614,0.003426757175475359,2001,615.49,-4.81
80000,0.9977232785895467,4000,1.8698654174804688,0.0008241729810833931,2003,614.49,-4.83
82000,0.9815297909080982,4100,1.8626304864883423,0.0025584655813872814,2005,611.8,-4.82
84000,0.21779054403305054,4200,2.03730845451355,0.03342551738023758,2007,615.32,-4.81
86000,0.9439093731343746,4300,1.9700260162353516,0.003339505987241864,2009,614.97,-4.82
88000,0.4466889500617981,4400,2.036940336227417,0.053522802889347076,2012,619.44,-4.82
90000,0.9820418730378151,4500,2.000312328338623,0.00047532314783893526,2013,620.71,-4.83
92000,0.9941497757099569,4600,1.8348605632781982,0.0004925524117425084,2016,623.14,-4.83
94000,0.9967982012312859,4700,1.9321491718292236,0.0005687113734893501,2018,617.84,-4.86
96000,0.8760336264967918,4800,1.6488803625106812,0.0054650623351335526,2019,617.81,-4.85
98000,0.7174674570560455,4900,1.9650371074676514,0.07587815821170807,2021,612.91,-4.89
100000,0.9858165755867958,5000,1.859981894493103,0.0008473211200907826,2022,613.27,-4.87
102000,0.997802002588287,5100,1.7498152256011963,0.0005465827998705208,2022,606.54,-4.89
104000,0.9971633099485189,5200,1.8160622119903564,0.0003218750352971256,2024,606.71,-4.88
106000,0.9966499989386648,5300,2.0012991428375244,0.0002366926782997325,2015,609.43,-4.87
108000,0.9969652350991964,5400,1.9487295150756836,0.00029447037377394736,2015,609.46,-4.87
110000,0.9974424378015101,5500,1.7397730350494385,0.0004548066353891045,2003,605.81,-4.87
112000,0.9873596439138055,5600,1.8929693698883057,0.0004309341893531382,1986,605.62,-4.87
114000,0.9893631925806403,5700,1.9484226703643799,0.0010670686606317759,1975,607.99,-4.87
116000,-0.017087697982788086,5800,1.9197025299072266,0.30784663558006287,1960,605.76,-4.87
118000,0.9874376766383648,5900,1.9503307342529297,0.0031006825156509876,1948,606.57,-4.87
120000,0.9926423262804747,6000,1.9323055744171143,0.0005081250565126538,1938,607.69,-4.87
122000,0.7561098337173462,6100,2.014594316482544,0.03253310173749924,1926,608.33,-4.86
124000,0.9519784487783909,6200,1.8503128290176392,0.005319499410688877,1917,604.31,-4.86
126000,0.9419673196971416,6300,2.039689540863037,0.001041118404828012,1908,605.71,-4.85
128000,0.9961461117491126,6400,1.9908844232559204,0.0003589457191992551,1899,606.46,-4.85
130000,0.9915813896805048,6500,1.726493239402771,0.0006270481389947236,1889,605.61,-4.86
132000,0.9886626051738858,6600,2.0291690826416016,0.0020561362616717815,1888,600.97,-4.87
