entropy,surrgain,EpThisIter,TimestepsSoFar,EpLenMean,EpRewMean,optimgain,EpisodesSoFar,TimeElapsed,explained_variance_tdlam_before,entloss,meankl
0.40898603,0.023035765,1,10430464,3000.0,-0.1,0.023035765,4405,9376.181725978851,-1.5272974967956543,0.0,0.00549524
0.36996466,0.01988842,0,10431488,3000.0,-0.1,0.01988842,4405,9377.063331604004,-0.6648861169815063,0.0,0.0049537797
0.36027604,0.027256787,0,10432512,3000.0,-0.1,0.027256787,4405,9377.96757555008,-1.7782599925994873,0.0,0.010174079
0.37192276,0.014063974,1,10433536,3000.0,-0.125,0.014063974,4406,9378.839399576187,-1.9451448917388916,0.0,0.012369184
0.37826622,0.021781174,0,10434560,3000.0,-0.125,0.021781174,4406,9379.685178995132,-2.349501609802246,0.0,0.006475505
0.35282642,0.039330907,0,10435584,3000.0,-0.125,0.039330907,4406,9380.50690460205,0.5961069166660309,0.0,0.0073011434
0.3498901,0.02219776,1,10436608,3000.0,-0.1,0.02219776,4407,9381.40604877472,-0.23647010326385498,0.0,0.004054105
0.31470948,0.015870769,0,10437632,3000.0,-0.1,0.015870769,4407,9382.306099176407,-0.5589860677719116,0.0,0.01362165
0.38197705,0.025264941,0,10438656,3000.0,-0.1,0.025264941,4407,9383.21089720726,-1.0024967193603516,0.0,0.0060284254
0.3341319,0.015753591,1,10439680,3000.0,-0.1,0.015753591,4408,9384.077934503555,-0.7049496173858643,0.0,0.0070068464
0.3442313,0.027466364,0,10440704,3000.0,-0.1,0.027466364,4408,9384.99788570404,-0.9091023206710815,0.0,0.0076172445
0.38071,0.043366134,0,10441728,3000.0,-0.1,0.043366134,4408,9386.037744045258,-0.9918608665466309,0.0,0.00637539
0.38848174,0.020187851,1,10442752,3000.0,-0.125,0.020187851,4409,9386.892132043839,-0.884765625,0.0,0.00512165
0.38115773,0.013158789,0,10443776,3000.0,-0.125,0.013158789,4409,9387.758961439133,-1.3060622215270996,0.0,0.0062089385
0.3385645,0.020377744,0,10444800,3000.0,-0.125,0.020377744,4409,9388.98966383934,-2.9455864429473877,0.0,0.009827057
0.31702033,0.031972565,1,10445824,3000.0,-0.1,0.031972565,4410,9390.162692785263,0.5253234207630157,0.0,0.0066432054
0.35423344,0.022585688,0,10446848,3000.0,-0.1,0.022585688,4410,9391.150983572006,-0.4370018243789673,0.0,0.006051491
