total_timesteps,fps,nupdates,policy_entropy,value_loss,explained_variance,ep_reward_mean,ep_len_mean
18000,27,3600,1.7389761209487915,0.0038282175082713366,0.030105412006378174,-4.9375,557.28125
18500,27,3700,1.743192434310913,0.0008217290160246193,-0.4833388328552246,-4.9393939393939394,555.1818181818181
19000,27,3800,1.7840569019317627,0.0003103689814452082,-0.480879545211792,-4.9393939393939394,555.1818181818181
19500,28,3900,1.7209603786468506,0.0022040195763111115,-7.413252830505371,-4.9411764705882355,561.1764705882352
20000,28,4000,1.7459895610809326,0.3550504148006439,0.565321683883667,-4.942857142857143,561.7142857142857
20500,28,4100,1.750801682472229,0.004867498762905598,-8.629325866699219,-4.944444444444445,558.0555555555555
21000,28,4200,1.782116174697876,0.0008747850661166012,-9.169476509094238,-4.947368421052632,552.4473684210526
21500,28,4300,1.7843053340911865,0.006020327098667622,-31.170310974121094,-4.948717948717949,550.4358974358975
22000,28,4400,1.7791111469268799,0.0040527950040996075,0.9329558685421944,-4.95,549.9
22500,28,4500,1.779945969581604,0.009524721652269363,-28.514625549316406,-4.95,549.9
23000,28,4600,1.7629077434539795,0.003437536535784602,-2.2223167419433594,-4.951219512195122,549.4878048780488
23500,28,4700,1.7466967105865479,0.0028522913344204426,-0.14720845222473145,-4.9523809523809526,548.2142857142857
24000,28,4800,1.7598211765289307,0.0003135819861199707,0.22643297910690308,-4.953488372093023,546.5581395348837
24500,28,4900,1.7871007919311523,0.0024019782431423664,-6.6368021965026855,-4.954545454545454,545.6590909090909
25000,28,5000,1.7865931987762451,0.002638249658048153,-8.000930786132812,-4.955555555555556,549.1111111111111
25500,28,5100,1.7720645666122437,0.0009864605963230133,-6.072497844696045,-4.956521739130435,550.7173913043479
26000,29,5200,1.770138144493103,0.14599773287773132,0.7546180486679077,-4.957446808510638,550.3617021276596
26500,29,5300,1.7832263708114624,0.00031796330586075783,-3.846439838409424,-4.958333333333333,551.6458333333334
27000,29,5400,1.7695295810699463,0.003244999796152115,-3.0002198219299316,-4.958333333333333,551.6458333333334
27500,29,5500,1.7199312448501587,0.023816265165805817,-11.044495582580566,-4.959183673469388,551.6326530612245
28000,29,5600,1.7830307483673096,0.0003314576460979879,-5.730479717254639,-4.96,550.3
28500,29,5700,1.734124779701233,0.003369716228917241,-4.223750114440918,-4.9411764705882355,552.4117647058823
29000,29,5800,1.7770459651947021,0.0004997270298190415,-6.569541931152344,-4.9423076923076925,553.25
29500,29,5900,1.7542253732681274,0.0009300409583374858,-0.6010174751281738,-4.943396226415095,555.1698113207547
30000,29,6000,1.7756974697113037,0.08965654671192169,0.7596764415502548,-4.944444444444445,553.0185185185185
30500,29,6100,1.7859874963760376,0.0011740168556571007,0.5769769549369812,-4.945454545454545,551.2181818181818
31000,29,6200,1.7674728631973267,0.00016086753748822957,0.4311366081237793,-4.946428571428571,550.7321428571429
31500,29,6300,1.7848570346832275,0.00012580137990880758,-1.033146858215332,-4.947368421052632,549.8245614035088
32000,29,6400,1.7889171838760376,0.0004708243941422552,-10.37886905670166,-4.948275862068965,551.5344827586207
32500,29,6500,1.757617712020874,0.00026985330623574555,0.4171566963195801,-4.948275862068965,551.5344827586207
33000,29,6600,1.7832202911376953,0.00013320203288458288,-0.48810482025146484,-4.932203389830509,551.0677966101695
33500,29,6700,1.7763646841049194,0.015805069357156754,-58.28261947631836,-4.933333333333334,550.85
34000,29,6800,1.7843878269195557,0.00020156940445303917,-1.1615760326385498,-4.934426229508197,550.4098360655738
34500,29,6900,1.769765853881836,0.000556439976207912,0.3991953730583191,-4.935483870967742,549.6774193548387
35000,29,7000,1.783113718032837,0.00010648006718838587,0.030359864234924316,-4.936507936507937,549.7142857142857
35500,29,7100,1.7820106744766235,0.0007602758705615997,-4.769409656524658,-4.9375,551.046875
